,Link,Tweet,Tanggal,Like,Comment
14,https://twitter.com/pegscart/status/1758056780679336272#m,"balik lagi ke pertanyaanku: kalau prabowo memang peduli dengan negara ini, mau membela negara ini, kenapa dia ga mau menghadiri? mungkin ini pertanyaan bodoh yang dangkal. tapi ya, sederhana aja, kalau lu ga salah, apa yang lu takutkan gitu lho.  also:","Feb 15, 2024 · 9:12 AM UTC",0,0
15,https://twitter.com/BashAhLatucons6/status/1758056779316113670#m,Indonesian Human Right & Coruption Investigation (IRCI) dan Pemuda Lahatale Putih Maluku (PLPM) meminta segera kpd Bawaslu dan KPU untuk segera mendiskualifikasikan Prabowo Gibran karena deklarasikan diri secara tidak sah,"Feb 15, 2024 · 9:12 AM UTC",0,0
16,https://twitter.com/Erosmarley1/status/1758056777680347644#m,Woiiii..jangan kejam kali pak Wkwkwkk,"Feb 15, 2024 · 9:12 AM UTC",0,0
17,https://twitter.com/03__nakula/status/1757974501642666167#m,"Selamat atas kemenangan pasangan 02 Prabowo - Gibran berdasar Quick count hasil Pilpres 2024. Semoga diberi Panjang umur, sehat dan kemampuan mengemban amanah rakyat.  Maaf jika selama masa kampanye banyak tulisan saya menyinggung teman² dan pendukung Capres lain, semoga ke depan Indonesia jadi lebih baik.🇮🇩  Untuk teman² seperjuangan ku pendukung Ganjar - Mahfud, tetap kompak dan semangat. 💪🏻","Feb 15, 2024 · 3:45 AM UTC",329,58
18,https://twitter.com/kumparan/status/1757737698058756211#m,"Eks Gubernur Jawa Barat Ridwan Kamil berbicara hasil quick count lembaga survei di Pilpres 2024. Sejauh ini, paslon 02 Prabowo-Gibran unggul dari paslon 01 Anies-Muhaimin dan paslon 03 Ganjar-Mahfud.  Ridwan Kamil mengatakan, paslon 02 menang berkat pergerakan silent majority. Eks Wali Kota Bandung ini kemudian membeberkan kategori kelompok masyarakat selama Pemilu 2024. Salah satunya adalah mereka yang menyimak namun jarang komen-komen, dan jarang ribut-ribut di medsos tiap akun ini posting politik.  #pemilupedia #focus #pilpres2024 #news #oneliner #capres2024 #pemilu2024 #kumparan","Feb 14, 2024 · 12:04 PM UTC",5809,646
19,https://twitter.com/virhaenyra/status/1757938386953011449#m,"orang indo emang pd seneng kok glorifying diktaktor kek suharto, hitler, kim jong un like it's not a surprise anymore to me why ppl choose prabowo karna mentalnay emang suka dijajah","Feb 15, 2024 · 1:22 AM UTC",2316,12
20,https://twitter.com/eleanorr234/status/1757992507101913304#m,"Prabowo dlm hati pasti ngomong “Oh begini cara mereka curangin saya pemilu kmren, ya kan pak @prabowo ?? 😂","Feb 15, 2024 · 4:57 AM UTC",4452,300
21,https://twitter.com/KepaArgawinata7/status/1757746482441269589#m,"Kampanye diberbagai Daerah sepi,  Debat Capres-Cawapres kalah,  Bisanya cuma Joget Gemoy dan Oke Gas Oke Gas doang,  Tapi mereka malah menang Telak satu putaran.   Bukan Prabowo Gibran yang hebat tapi Bangsa kita emang lagi sakit","Feb 14, 2024 · 12:39 PM UTC",11124,779
22,https://twitter.com/kompascom/status/1758019626389393679#m,"Prabowo Subianto-Gibran Rakabuming Raka, memperoleh 086 suara. Kendati demikian, tertulis menjadi 886 suara. dlvr.it/T2mbXl","Feb 15, 2024 · 6:45 AM UTC",332,54
23,https://twitter.com/AllanNairn14/status/1757458678071144715#m,"Saya melaporkan, pada 7 Feb pejabat militer& intelijen Indonesia membahas rencana mencurangi pemilihan untuk memenangkan Jend Prabowo.Di dokumenter Dirty Vote yang baru saja rilis para profesor hukum merinci prosedur penipuan. Film ini telah ditonton lebih dari 8 juta kali & kini menghadapi ancaman peretasan. https://invidious.poast.org/watch?v=yHX7N-gcvhQ","Feb 13, 2024 · 5:36 PM UTC",3020,184
24,https://twitter.com/UyokTweet/status/1757900992455090329#m,"Buat pendukung Prabowo 2019 yg ttp memutuskan mendukungnya di 2024, tak perlu menari kegirangan. Kalian tahu proses pemenangan saat ini terjadi mirip spt 2019 (bahkan lbh kasar) yg menyebabkan Prabowo kalah.  Jd apa yg kalian banggakan menang dgn cara yg kalian benci di 2019?","Feb 14, 2024 · 10:53 PM UTC",6270,170
25,https://twitter.com/realfedinuril/status/1757770651891650627#m,"Saya ucapkan selamat kepada Pak @prabowo & Pak @gibran_tweet yang unggul dalam pilpres versi hitung cepat.   Seperti yang saya tulis sebelumnya, saya terima ini sebagai takdir/ujian dari Allah SWT yang akan saya cari hikmahnya.   Setelah hasil resmi diumumkan dan dilantik, semoga Pak Prabowo dan Pak Gibran bisa amanah dalam memimpin dan melayani masyarakat, sehingga tercipta situasi yang aman dan nyaman.   God bless Indonesia. Hiduplah Indonesia Raya 🇮🇩","Feb 14, 2024 · 2:15 PM UTC",68785,3067
26,https://twitter.com/ArnoldPoernomo/status/1757698258208805357#m,Selamat kepada Bapak Prabowo dan Mas Gibran ❤️🫡,"Feb 14, 2024 · 9:28 AM UTC",21639,286
27,https://twitter.com/khoiriak/status/1758037766489944474#m,"Apa yang dialami Anies 8aswedan pernah dirasakan juga oleh prabowo di 2019. Quick count itu survei.  2019 prabowo di curangi, 2024 prabowo mencurangi lawannya dengan cara yang sama.","Feb 15, 2024 · 7:57 AM UTC",457,46
28,https://twitter.com/tempodotco/status/1757967221459177512#m,Pemungutan suara Pemilu 2024 diwarnai berbagai kecurangan pemilu. Diduga menguntungkan Prabowo-Gibran.  #KoranTempo https://koran.tempo.co/read/nasional/487273/sederet-kegaduhan-pemilu-2024,"Feb 15, 2024 · 3:17 AM UTC",1221,42
29,https://twitter.com/smpkcng/status/1758056759422579113#m,Kalian pemilu 2019 udah pada sadar belum sih? Pendukung Prabowo yg saat itu kalah pake Campaign #INAelectionObserverSOS 😂😂😂,"Feb 15, 2024 · 9:12 AM UTC",0,0
30,https://twitter.com/negativisme/status/1758037982286950426#m,"Megawati, Hasto, Guntur, FX Rudy, Ahok, Butet, Cak Lontong, Denny Siregar, tanpa mereka Prabowo Gibran belum tentu menang satu putaran, hehehe","Feb 15, 2024 · 7:58 AM UTC",12,3
31,https://twitter.com/CNNIndonesia/status/1757906731173286055#m,Senyum Titiek Soeharto Dengar Prabowo Suka Makan Siang dengan Ayahnya  https://www.cnnindonesia.com/nasional/20240214214750-617-1062741/senyum-titiek-soeharto-dengar-prabowo-suka-makan-siang-dengan-ayahnya?utm_campaign=cnnsocmed&utm_medium=oa&utm_source=twitter,"Feb 14, 2024 · 11:16 PM UTC",270,31
32,https://twitter.com/jllmisai/status/1757752622084493334#m,Prabowo jangan seronok sangat.. Sana banyak hotel 5 bintang.. Macam-macam langkah boleh dibuat oleh pihak yang dah chukup jomlah.. 🤔,"Feb 14, 2024 · 1:04 PM UTC",638,20
33,https://twitter.com/yteeam/status/1757770566046798085#m,"syg, km ditangkap prabowo ap gmn ko gabalas chat aq","Feb 14, 2024 · 2:15 PM UTC",23829,463
34,https://twitter.com/bnsphrxyzzz/status/1758054125281976771#m,"Prabowo-Gibran kalah telak di Aceh, Sumbar, Riau.   Tapi menang telak di Bali, Sulut, NTT, semua Papua.  Semoga @prabowo @gibran_tweet tau kelompok mana yg mencintainya.  Jgn khianati rakyat di daerah2 yg mempercayakan suara mrk kpd kalian berdua.","Feb 15, 2024 · 9:02 AM UTC",9,1
35,https://twitter.com/abu_waras/status/1757968327660781716#m,Euporia Prabowo Gibran Mendeklarasikan Kemenangan Versi Quick Count Bisa Menjadi Blunder. Prabowo Tidak Berkaca Pada Pilpres 2014 dan 2019 Yang Sudah Syukur dan Deklarasi Duluan Hanya Karena Melihat Hasil QC.,"Feb 15, 2024 · 3:21 AM UTC",261,4
36,https://twitter.com/BuchroniK/status/1758056749234561477#m,"Saya dulu pendukung Prabowo pernah merasa riang gembira begitu melihat perhitungan suara  di hari-hari awal setelah pilpres 2019. Apalagi nambah keyakinan pasti menang, setelah melihat kubu sebelah tampak muram durja..","Feb 15, 2024 · 9:12 AM UTC",0,0
37,https://twitter.com/bungachda/status/1758056743236760042#m,Kurangi pemakaian sempak.,"Feb 15, 2024 · 9:12 AM UTC",0,0
38,https://twitter.com/democrazymedia/status/1758013268797395376#m,"HEBOH Suara Prabowo di TPS Tangsel 86 Ditulis 866, KPU Ralat Pakai Tipp-ex https://www.democrazy.id/2024/02/suara-prabowo-di-tps-tangsel-86-ditulis-866-kpu-ralat-pakai-tipp-ex.html","Feb 15, 2024 · 6:20 AM UTC",84,5
39,https://twitter.com/berberberberbrr/status/1758056738912403736#m,"Next time pelajaran bagi warga twitter adalah, jangan jahat jahat cangkeme, ngerti sendiri kan manusia indo ini suka mengasihani orang lain, masih banyak orang yg milih prabowo karena kasian cokkk 😭😭😭","Feb 15, 2024 · 9:12 AM UTC",0,0
40,https://twitter.com/mesoen1065/status/1757994019517505879#m,"*MASYARAKAT BERI PERINGATAN KERAS KEPADA TKN 02- PRABOWO*  Jangan Gunakan Politik Ala PKI ""Pukul Dulu Lawan"" Baru melenggang jalan.   *Rencana busuk PRABOWO Gagal Total... TER- BONGKAR semua...!!!*  Siapa sebenarnya yang memecah belah RAKYAT,  silahkan nilai sendiri.","Feb 15, 2024 · 5:03 AM UTC",1006,29
41,https://twitter.com/AlFatih78254043/status/1758056735615676807#m,Bener juga yaa.. pdhl dia dlu hbsan2 berjuang dan bisa menang,"Feb 15, 2024 · 9:12 AM UTC",0,0
42,https://twitter.com/ch_chotimah2/status/1757942796475122169#m,"Hasil Quick Count hingga pagi ini.  1. Prabowo unggul   2. PSI kembali gagal ke Senayan.  3. PDIP berhasil menang pileg unk yg ketiga kalinya.  Tiga perjuangan, sementara gagal satu, dua berhasil. Kalah dgn terhormat, menang dgn terhormat. Bangga sdh berjuang bersama teman2 semua, tetap semangat kita kawal hingga akhir.🔥🙏","Feb 15, 2024 · 1:39 AM UTC",2074,295
43,https://twitter.com/yudi_bhe/status/1758056733535346890#m,"Prabowo itu dulu tidak mengakui kekalahan bang, bahkan sampai ada gugatan ke mk, dan akan timbul tenggelam bersama rakyat. Kalau oak anies selain bukan orang partai, beliau blm ada statement tentang itu semua.","Feb 15, 2024 · 9:12 AM UTC",0,0
44,https://twitter.com/RikeSants/status/1757971392451297641#m,"Semua bantu cek TPS masing2 ✊🏻✊🏻 kita kerja bersama dan laporkan ke TIM HUKUM AMIN di daerah masing2   Pontianak Kota, SungaiBangkong TPS 27   DPT  total 200 Prabowo 490 Form C1 Prabowo 90   😵‍💫😵‍💫","Feb 15, 2024 · 3:33 AM UTC",692,26
